Global Volcanism Program - Volcanoes of the World 4.8.6,,,Basic List of Pleistocene Volcanoes,,Downloaded on 05 Mar 2020 at 10:51 AM,,,,,,,
Volcano Number,Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Subregion,Latitude,Longitude,Elevation (m),Dominant Rock Type,Tectonic Setting
225818,"Chi, Tarso Emi",Chad,Volcanic field,,,Africa and Red Sea,Africa (northern),21.22,18.52,2650,,Intraplate / Continental crust (>25 km)
225819,"Ahon, Tarso",Chad,Volcanic field,,,Africa and Red Sea,Africa (northern),20.539,18.29,3325,,Intraplate / Continental crust (>25 km)
230800,Unnamed,Syria,Cone,,,Middle East and Indian Ocean,Middle East (western),37.13,41.85,693,,Rift zone / Continental crust (>25 km)
230801,Unnamed,Syria,Cone(s),,,Middle East and Indian Ocean,Middle East (western),35.63,40.33,404,,Rift zone / Continental crust (>25 km)
230802,Unnamed,Syria,Cone(s),,,Middle East and Indian Ocean,Middle East (western),35.82,39.47,473,,Unknown
230803,Unnamed,Syria,Cone(s),,,Middle East and Indian Ocean,Middle East (western),34.02,38.68,775,,Rift zone / Continental crust (>25 km)
230804,Unnamed,Syria,Cone(s),,,Middle East and Indian Ocean,Middle East (western),33.75,38.68,781,,Unknown
231073,"Baqarah, Jabal",Saudi Arabia,Cone,,,Middle East and Indian Ocean,Middle East (southern),18.024,42.092,331,,Intraplate / Continental crust (>25 km)
231806,"Hutaymah, Harrat",Saudi Arabia,Volcanic field,,,Middle East and Indian Ocean,Middle East (southern),26.98,42.4,0,,Intraplate / Continental crust (>25 km)
231807,"Haylah, Jibal al",Saudi Arabia,Cone,,,Middle East and Indian Ocean,Middle East (southern),18.515,42.051,761,,Intraplate / Continental crust (>25 km)
232020,Qal'eh Hasan Ali,Iran,Maar(s),,,Middle East and Indian Ocean,Middle East (eastern),29.375,57.55,2400,,Intraplate / Continental crust (>25 km)
232060,Dacht-i-Navar Group,Afghanistan,Lava dome(s),,,Middle East and Indian Ocean,Middle East (eastern),33.95,67.92,3800,,Intraplate / Continental crust (>25 km)
232070,Vakak Group,Afghanistan,Volcanic field,,,Middle East and Indian Ocean,Middle East (eastern),34.25,67.97,3190,,Intraplate / Continental crust (>25 km)
232800,Bijar Volcanic Field,Iran,Pyroclastic cone(s),,,Middle East and Indian Ocean,Middle East (western),35.583,47.8,0,,Intraplate / Continental crust (>25 km)
232801,Sultan,Pakistan,Volcanic field,,,Middle East and Indian Ocean,Middle East (eastern),29.1,62.8,2333,,Intraplate / Continental crust (>25 km)
232803,Kuh-e Ayyub Ansar,Iran,Lava dome,,,Middle East and Indian Ocean,Middle East (western),36.321,47.25,2506,,Intraplate / Continental crust (>25 km)
232806,Gandom Beryan,Iran,Unknown,,,Middle East and Indian Ocean,Middle East (eastern),31.343,57.517,500,,Intraplate / Continental crust (>25 km)
232807,Dehaj-Meduk,Iran,Volcanic field,,,Middle East and Indian Ocean,Middle East (eastern),30.33,55.5,0,,Intraplate / Continental crust (>25 km)
232808,Shahsavaran,Iran,Volcanic field,,,Middle East and Indian Ocean,Middle East (eastern),28.152,59.281,0,,Intraplate / Continental crust (>25 km)
232809,Zardolou Group,Afghanistan,Lava dome(s),,,Middle East and Indian Ocean,Middle East (eastern),33.25,67.92,3000,,Intraplate / Continental crust (>25 km)
232810,Loman Volcano Group,Afghanistan,Lava dome(s),,,Middle East and Indian Ocean,Middle East (eastern),33.33,67.85,4559,,Intraplate / Continental crust (>25 km)
232812,East Neh,Iran,Unknown,,,Middle East and Indian Ocean,Middle East (eastern),31.333,60.126,0,,
233800,Moheli Island,Comoros,Shield,,,Middle East and Indian Ocean,Indian Ocean (western),-12.3,43.72,790,,Intraplate / Oceanic crust (< 15 km)
233801,Anjouan Island,Comoros,Shield,,,Middle East and Indian Ocean,Indian Ocean (western),-12.2,44.45,1595,,Intraplate / Oceanic crust (< 15 km)
233802,"Nieges, Piton des",France,Shield,,,Middle East and Indian Ocean,Indian Ocean (western),-21.08,55.48,3070,,Intraplate / Oceanic crust (< 15 km)
