Global Volcanism Program - Volcanoes of the World 4.8.6,,,,Downloaded on 05 Mar 2020 at 08:30 AM,
Volcano Number,Volcano Name,Author,Publication Year,Title,Source
312190,Griggs,"Hildreth W, Fierstein J",2000,Katmai volcanic cluster and the great eruption of 1912,"Geol Soc Amer Bull, 112: 1594-1620"
312190,Griggs,"Hildreth W, Fierstein J, Lanphere M A, Siems D F",2002,Mount Griggs: a compositionally distinctive Quaternary stratovolcano behind the main volcanic line in Katmai National Park,"In: Wilson R H, Galloway J P (eds), Geologic Studies in Alaska by the U. S. Geological Survey, 2000 {U S Geol Surv Prof Pap}, 1662: 87-112"
312190,Griggs,"Hildreth W, Lanphere M A, Fierstein J",2003,"Geochronology and eruptive history of the Katmai volcanic cluster, Alaska Peninsula","Earth Planet Sci Lett, 214: 93-114"
312190,Griggs,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
312190,Griggs,"Motyka R J, Liss S A, Nye C J, Moorman M A",1993,Geothermal resources of the Aleutian arc,"Alaska Div Geol Geophys Surv, Prof Rpt, no 114, 17 p and 4 map sheets"
312190,Griggs,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
312200,Snowy Mountain,Fierstein J,2007,"Explosive eruptive record in the Katmai region, Alaska Peninsula: an overview","Bull Volcanol, 69: 469-509"
312200,Snowy Mountain,"Hildreth W E, Fierstein J, Lanphere M A, Siems D F",2001,Snowy Mountain: a pair of small andesite-dacite stratovolcanoes in Katmai National Park,"In: Gough L P, Wilson F H (eds) Geologic Studies in Alaska by the U.S. Geological Survey, 1999, {U S Geol Surv Prof Pap}, 1633: 13-34"
312200,Snowy Mountain,"Hildreth W, Lanphere M A, Fierstein J",2003,"Geochronology and eruptive history of the Katmai volcanic cluster, Alaska Peninsula","Earth Planet Sci Lett, 214: 93-114"
312200,Snowy Mountain,"Motyka R J, Liss S A, Nye C J, Moorman M A",1993,Geothermal resources of the Aleutian arc,"Alaska Div Geol Geophys Surv, Prof Rpt, no 114, 17 p and 4 map sheets"
312200,Snowy Mountain,"Smith R L, Shaw H R",1975,Igneous-related geothermal systems,"U S Geol Surv Circ, 726: 58-83"
312200,Snowy Mountain,"Smith R L, Shaw H R, Luedke R G, Russell S L",1978,Comprehensive tables giving physical data and thermal energy estimates for young igneous systems of the United States,"U S Geol Surv Open-File Rpt, 78-925: 1-25"
312200,Snowy Mountain,"Ward P L, Matumoto T",1967,"A summary of volcanic and seismic activity in Katmai National Monument, Alaska","Bull Volcanol, 31: 107-130"
312200,Snowy Mountain,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
312250,Kaguyak,Fierstein J,2007,"Explosive eruptive record in the Katmai region, Alaska Peninsula: an overview","Bull Volcanol, 69: 469-509"
312250,Kaguyak,"Fierstein J, Hildreth W",2008,"Kaguyak dome field and its Holocene caldera, Alaska Peninsula","J. Volcanol. Geotherm. Res., 177: 301-312"
312250,Kaguyak,"Henning R A, Rosenthal C H, Olds B, Reading E (eds)",1976,"Alaska's volcanoes, northern link in the ring of fire","Alaska Geog, 4: 1-88"
312250,Kaguyak,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
312250,Kaguyak,"Motyka R J, Liss S A, Nye C J, Moorman M A",1993,Geothermal resources of the Aleutian arc,"Alaska Div Geol Geophys Surv, Prof Rpt, no 114, 17 p and 4 map sheets"
312250,Kaguyak,"Riehle J R, Waitt R B, Meyer C E, Calk L C",1998,"Age of formation of Kaguyak caldera, eastern Aleutian arc, Alaska, estimated by tephrochronology","In: Gray J E, Riehle J R (eds) {Geologic studies in Alaska by the U.S. Geological Survey, 1996}, US Geol Surv Prof Pap, 1595: 161-168"
312250,Kaguyak,"Smith R L, Shaw H R, Luedke R G, Russell S L",1978,Comprehensive tables giving physical data and thermal energy estimates for young igneous systems of the United States,"U S Geol Surv Open-File Rpt, 78-925: 1-25"
312250,Kaguyak,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
312260,Fourpeaked,"Henning R A, Rosenthal C H, Olds B, Reading E (eds)",1976,"Alaska's volcanoes, northern link in the ring of fire","Alaska Geog, 4: 1-88"
312260,Fourpeaked,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
312260,Fourpeaked,"Motyka R J, Liss S A, Nye C J, Moorman M A",1993,Geothermal resources of the Aleutian arc,"Alaska Div Geol Geophys Surv, Prof Rpt, no 114, 17 p and 4 map sheets"
312260,Fourpeaked,"Smith R L, Shaw H R, Luedke R G, Russell S L",1978,Comprehensive tables giving physical data and thermal energy estimates for young igneous systems of the United States,"U S Geol Surv Open-File Rpt, 78-925: 1-25"
312260,Fourpeaked,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
313010,Augustine,"Beget J E, Kienle J",1992,Cyclic formation of debris avalanches at Mount St. Augustine volcano,"Nature, 356: 701-704"
313010,Augustine,"Beget J E, Kowalik Z",2006,"Confirmation and calibration of computer modeling of tsunamis produced by Augustine volcano, Alaska","Sci Tsunami Hazards, 24: 257-266"
313010,Augustine,"Beget J, Gardner C, Davis K",2008,"Volcanic tsunamis and prehistorical cultural transitions in Cook Inlet, Alaska","J. Volcanol. Geotherm. Res., 176: 377-386"
313010,Augustine,"Henning R A, Rosenthal C H, Olds B, Reading E (eds)",1976,"Alaska's volcanoes, northern link in the ring of fire","Alaska Geog, 4: 1-88"
313010,Augustine,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
313010,Augustine,"Johnson K E, Harmon R S, Richardson J M, Moorbath S, Strong D F",1996,"Isotope and trace element geochemistry of Augustine volcano, Alaska: implications for magmatic evolution","J Petr, 37: 95-115"
313010,Augustine,"Kamata H, Johnston D A, Waitt R B",1991,"Stratigraphy, chronology, and character of the 1976 pyroclastic eruption of Augustine volcano, Alaska","Bull Volcanol, 53: 407-419"
313010,Augustine,"Kienle J, Kowalik Z, Murty T S",1987,"Tsunamis generated by eruptions from Mount St. Augustine volcano, Alaska","Science, 236: 1442-1447"
313010,Augustine,"Kienle J, Swanson S E",1980,"Volcanic hazards from future eruptions of Augustine volcano, Alaska","Univ Alaska Geophys Inst, UAG R-275, 122 p"
313010,Augustine,"Miller T P, McGimsey R G, Richter D H, Riehle J R, Nye C J, Yount M E, Dumoulin J A",1998,Catalogue of the historically active volcanoes of Alaska,"U S Geol Surv Open-File Rpt, 98-582: 1-104"
313010,Augustine,"Motyka R J, Liss S A, Nye C J, Moorman M A",1993,Geothermal resources of the Aleutian arc,"Alaska Div Geol Geophys Surv, Prof Rpt, no 114, 17 p and 4 map sheets"
313010,Augustine,"Siebert L, Beget J E, Glicken H",1995,"The 1883 and late-prehistoric eruptions of Augustine volcano, Alaska","J. Volcanol. Geotherm. Res., 66: 367-395"
313010,Augustine,"Siebert L, Glicken H, Kienle J",1989,"Debris avalanches and lateral blasts at Mount St. Augustine volcano, Alaska","Natl Geog Res, 5: 232-249"
313010,Augustine,"Smith R L, Shaw H R, Luedke R G, Russell S L",1978,Comprehensive tables giving physical data and thermal energy estimates for young igneous systems of the United States,"U S Geol Surv Open-File Rpt, 78-925: 1-25"
313010,Augustine,"Swanson S E, Kienle J",1988,The 1986 eruption of Mount St. Augustine: field test of a hazard evaluation,"J. Geophys. Res, 93: 4500-4520"
313010,Augustine,Waitt R B,2010,Ejecta and landslides from Augustine volcano before 2006,"In: Power J A, Coombs M L, Freymueller J T (eds) {U S Geol Surv Prof Pap}, 1769: 297-319"
313010,Augustine,"Waitt R B, Beget J E",1996,"Provisional geologic map of Augustine volcano, Alaska","U S Geol Surv Open-File Rpt, 96-516: 1-44"
313010,Augustine,"Waitt R B, Beget J E",2009,"Volcanic processes and geology of Augustine volcano, Alaska","U S Geol Surv Prof Pap, 1762: 1-78"
313010,Augustine,"Waythomas C F, Waitt R B",1998,"Preliminary volcano-hazard assessment for Augustine volcano, Alaska","U S Geol Surv Open-File Rpt, 98-106: 1-39"
313020,Iliamna,Coats R R,1950,Volcanic activity in the Aleutian Arc,"U S Geol Surv Bull, 974-B: 35-47"
313020,Iliamna,"Green J, Short N M",1971,Volcanic Landforms and Surface Features: a Photographic Atlas and Glossary,"New York: Springer-Verlag, 519 p"
313020,Iliamna,"Huggel C, Caplan-Auerbach J, Waythomas C F, Wessels R L",2007,"Monitoring and modeling ice-rock avalanches from ice-capped volcanoes: a case study of frequent large avalanches of Iliamna volcano, Alaska","J. Volcanol. Geotherm. Res., 168: 114-136"
313020,Iliamna,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
313020,Iliamna,"Miller T P, McGimsey R G, Richter D H, Riehle J R, Nye C J, Yount M E, Dumoulin J A",1998,Catalogue of the historically active volcanoes of Alaska,"U S Geol Surv Open-File Rpt, 98-582: 1-104"
313020,Iliamna,"Motyka R J, Liss S A, Nye C J, Moorman M A",1993,Geothermal resources of the Aleutian arc,"Alaska Div Geol Geophys Surv, Prof Rpt, no 114, 17 p and 4 map sheets"
313020,Iliamna,"Riehle J R, Waitt R B, Meyer C E, Calk L C",1998,"Age of formation of Kaguyak caldera, eastern Aleutian arc, Alaska, estimated by tephrochronology","In: Gray J E, Riehle J R (eds) {Geologic studies in Alaska by the U.S. Geological Survey, 1996}, US Geol Surv Prof Pap, 1595: 161-168"
313020,Iliamna,"Roman D C, Power J A, Moran S C, Cashman K V, Doukas M P, Neal C A, Gerlach T M",2004,"Evidence for dike emplacement beneath Iliamna volcano, Alaska in 1996","J. Volcanol. Geotherm. Res., 130: 265-284"
313020,Iliamna,"Smith R L, Shaw H R, Luedke R G, Russell S L",1978,Comprehensive tables giving physical data and thermal energy estimates for young igneous systems of the United States,"U S Geol Surv Open-File Rpt, 78-925: 1-25"
313020,Iliamna,"Waythomas C F, Miller T P",1999,"Preliminary volcano-hazard assessment for Iliamna volcano, Alaska","U S Geol Surv Open-File Rpt, 99-373: 1-31"
313020,Iliamna,"Waythomas C F, Miller T P, Beget J E",2000,"Record of late Holocene debris avalanches and lahars at Iliamna volcano, Alaska","J. Volcanol. Geotherm. Res., 104: 97-130"
313020,Iliamna,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
313030,Redoubt,"Beget J E, Nye C J",1994,"Postglacial eruption history of Mt. Redoubt, Alaska","J. Volcanol. Geotherm. Res., 62: 31-54"
313030,Redoubt,"Beget J, Gardner C, Davis K",2008,"Volcanic tsunamis and prehistorical cultural transitions in Cook Inlet, Alaska","J. Volcanol. Geotherm. Res., 176: 377-386"
313030,Redoubt,Brantley S R (ed),1990,"The eruptions of Redoubt volcano, Alaska December 14, 1989 - August 31, 1990","U S Geol Surv Circ, 1061: 1-33"
313030,Redoubt,Coats R R,1950,Volcanic activity in the Aleutian Arc,"U S Geol Surv Bull, 974-B: 35-47"
313030,Redoubt,"Gardner C A, Neal C A, Waitt R B, Janda R J",1994,"Proximal pyroclastic deposits from the 1989-1990 eruption of Redoubt volcano Alaska--stratigraphy, distribution, and physical characteristics","J. Volcanol. Geotherm. Res., 62: 213-250"
313030,Redoubt,"Henning R A, Rosenthal C H, Olds B, Reading E (eds)",1976,"Alaska's volcanoes, northern link in the ring of fire","Alaska Geog, 4: 1-88"
313030,Redoubt,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
313030,Redoubt,Miller T P,1994,Dome growth and destruction during the 1989-1990 eruption of Redoubt volcano,"J. Volcanol. Geotherm. Res., 62: 197-212"
313030,Redoubt,"Miller T P, Chouet B A",1994,The 1989-1990 eruptions of Redoubt volcano: an introduction,"J. Volcanol. Geotherm. Res., 61: 1-10"
313030,Redoubt,"Miller T P, McGimsey R G, Richter D H, Riehle J R, Nye C J, Yount M E, Dumoulin J A",1998,Catalogue of the historically active volcanoes of Alaska,"U S Geol Surv Open-File Rpt, 98-582: 1-104"
313030,Redoubt,"Motyka R J, Liss S A, Nye C J, Moorman M A",1993,Geothermal resources of the Aleutian arc,"Alaska Div Geol Geophys Surv, Prof Rpt, no 114, 17 p and 4 map sheets"
313030,Redoubt,Riehle J R,1985,"A reconnaissance of the major Holocene tephra deposits in the Upper Cook Inlet Region, Alaska","J. Volcanol. Geotherm. Res., 26: 37-74"
313030,Redoubt,"Schiff C J, Kaufman D S, Wallace K L, Ketterer M E",2010,"An improved proximal tephrochronology for Redoubt Volcano, Alaska","J. Volcanol. Geotherm. Res., 193: 203-214"
313030,Redoubt,"Scott W E, McGimsey R G",1994,"Character, mass, distribution, and origin of tephra-fall deposits of the 1989-1990 eruption of Redoubt volcano, Alaska","J. Volcanol. Geotherm. Res., 62: 251-172"
313030,Redoubt,"Smith R L, Shaw H R, Luedke R G, Russell S L",1978,Comprehensive tables giving physical data and thermal energy estimates for young igneous systems of the United States,"U S Geol Surv Open-File Rpt, 78-925: 1-25"
313030,Redoubt,"Till A B, Yount M E, Bevier  M L",1994,"The geologic history of Redoubt volcano, Alaska","J. Volcanol. Geotherm. Res., 62: 11-30"
313030,Redoubt,Volcanological Society of Japan,1960-96,"Bull Volc Eruptions, no 1-33","[Annual reports issued 1 to 3 years after event year, published since 1986 in Bull Volcanol]"
313030,Redoubt,"Waythomas C F, Dorava J M, Miller T P, Neal C A, McGimsey R G",1998,"Preliminary volcano-hazard assessment for Redoubt volcano, Alaska","U S Geol Surv Open-File Rpt, 97-857: 1-40"
313030,Redoubt,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
313040,Spurr,"Gardner C A, Cashman K V, Neal C A",1998,"Tephra-fall deposits from the 1992 eruption of Crater Peak, Alaska: implications of clast textures for eruptive processes","Bull Volcanol, 59: 537-555"
313040,Spurr,"Henning R A, Rosenthal C H, Olds B, Reading E (eds)",1976,"Alaska's volcanoes, northern link in the ring of fire","Alaska Geog, 4: 1-88"
313040,Spurr,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
313040,Spurr,"McNutt S R, Davis C M",2000,"Lightning associated with the 1992 eruptions of Crater Peak, Mount Spurr volcano, Alaska","J. Volcanol. Geotherm. Res., 102: 45-65"
313040,Spurr,"Miller T P, McGimsey R G, Richter D H, Riehle J R, Nye C J, Yount M E, Dumoulin J A",1998,Catalogue of the historically active volcanoes of Alaska,"U S Geol Surv Open-File Rpt, 98-582: 1-104"
313040,Spurr,"Motyka R J, Liss S A, Nye C J, Moorman M A",1993,Geothermal resources of the Aleutian arc,"Alaska Div Geol Geophys Surv, Prof Rpt, no 114, 17 p and 4 map sheets"
313040,Spurr,"Nye C J, Turner D L",1990,"Petrology, geochemistry, and age of the Spurr volcanic complex, eastern Aleutian arc","Bull Volcanol, 52: 205-226"
313040,Spurr,"Power J A, Jolly A D, Nye C J, Harbin M L",2002,A conceptual model of the Mount Spurr magmatic system from seismic and geochemical observations of the 1992 Crater Peak eruption sequence,"Bull Volcanol, 64: 206-218"
313040,Spurr,Riehle J R,1985,"A reconnaissance of the major Holocene tephra deposits in the Upper Cook Inlet Region, Alaska","J. Volcanol. Geotherm. Res., 26: 37-74"
313040,Spurr,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
313050,Hayes,"Miller T P, Smith R L",1975,"Ash flows on the Alaska Peninsula: a preliminary report on their distribution, composition and age (abs)","Geol Soc Amer Abs Prog, 7: 1201"
313050,Hayes,"Motyka R J, Liss S A, Nye C J, Moorman M A",1993,Geothermal resources of the Aleutian arc,"Alaska Div Geol Geophys Surv, Prof Rpt, no 114, 17 p and 4 map sheets"
313050,Hayes,Riehle J R,1985,"A reconnaissance of the major Holocene tephra deposits in the Upper Cook Inlet Region, Alaska","J. Volcanol. Geotherm. Res., 26: 37-74"
313050,Hayes,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
314010,St. Paul Island,Barth T F W,1956,"Geology and petrology of the Pribilof Islands, Alaska","U S Geol Surv Bull, 1028-F: 101-160"
314010,St. Paul Island,"Cox A, Hopkins D M, Dalrymple G B",1966,"Geomagnetic polarity epochs: Pribilof Islands, Alaska.","Geol Soc Amer Bull, 77: 883-910"
314010,St. Paul Island,"Feeley T C, Winer G S",2009,"Volcano hazards and potential risks on St. Paul Island, Pribilof Islands, Bering Sea, Alaska","J. Volcanol. Geotherm. Res., 182: 57-66"
314010,St. Paul Island,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
314010,St. Paul Island,Jaggar T A,1931,St. Paul Island in the Pribilof Group,"Volcano Lett, 335: 1-4"
314010,St. Paul Island,"Smith R L, Shaw H R",1975,Igneous-related geothermal systems,"U S Geol Surv Circ, 726: 58-83"
314010,St. Paul Island,"Winer G S, Feeley T C, Cosca M A",2004,"Basaltic volcanism in the Bering Sea: geochronology and volcanic evolution of St. Paul Island, Pribilof Islands, Alaska","J. Volcanol. Geotherm. Res., 134: 277-301"
314010,St. Paul Island,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
314060,Imuruk Lake,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
314060,Imuruk Lake,"Smith R L, Shaw H R",1975,Igneous-related geothermal systems,"U S Geol Surv Circ, 726: 58-83"
314060,Imuruk Lake,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
315001,Buzzard Creek,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
315020,Wrangell,"Benson C S, Motyka R J",1979,"Glacier - volcano interactions on Mt. Wrangell, Alaska","Univ Alaska Geophys Inst Ann Rpt, 1977-78: 1-25"
315020,Wrangell,Decker R W,1971,Table of Active Volcanoes of the World,"Unpublished 41 page table, compiled primarily from IAVCEI catalogs with revisions by many volcanologists"
315020,Wrangell,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
315020,Wrangell,"Miller T P, McGimsey R G, Richter D H, Riehle J R, Nye C J, Yount M E, Dumoulin J A",1998,Catalogue of the historically active volcanoes of Alaska,"U S Geol Surv Open-File Rpt, 98-582: 1-104"
315020,Wrangell,"Neal C A, McGimsey R G, Girina O",2005,2002 volcanic activity in Alaska and Kamchatka: summary of events and response of the Alaska Volcano Observatory,"U S Geol Surv, Open-File Rpt, 2004-1058: 1-51"
315020,Wrangell,"Newhall C G, Dzurisin D",1988,Historical unrest at large calderas of the world,"U S Geol Surv Bull, 1855: 1108 p, 2 vol"
315020,Wrangell,"Richter D H, Rosenkrans D S, Steigerwald M J",1995,"Guide to the volcanoes of the western Wrangell Mountains, Alaska--Wrangell-St. Elias National Park and Preserve","U S Geol Surv Bull, 2072: 1-31"
315020,Wrangell,"Trop J M, Hart W K, Snyder D, Idleman B",2012,"Miocene basin development and volcanism along a strike-slip to flat-slab subduction transition: Stratigraphy, geochemistry, and geochronology of the central Wrangell volcanic belt, Yakutat–North America collision zone",Geosphere 8:805-834
315020,Wrangell,"Waythomas C F, Wallace K L",2002,"Flank collapse at Mount Wrangell, Alaska, recorded by volcanic mass-flow deposits in the Copper River lowland","Can J Earth Sci, 39: 1257-1279"
315020,Wrangell,Winkler G R,2000,"A geologic guide to Wrangell--Saint Elias National Park and Preserve, Alaska","U S Geol Surv Prof Pap, 1616: 1-166"
315020,Wrangell,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
315030,Churchill,"Clague J J, Evans S G, Rampton V N, Woodsworth G J",1995,"Improved age estimates for the White River and Bridge River tephras, western Canada","Can J Earth Sci, 32: 1172-1179"
315030,Churchill,"Coulter S E, Pilcher J R, Plunkett G, Baillie M, Hall V A, Steffensen J P, Vinther B M, Clausen H B, Johnsen S J",2012,Holocene tephras highlight complexity of volcanic signals in Greenland ice cores,"J. Geophys. Res., 117, D21303"
315030,Churchill,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
315030,Churchill,"Jensen B J L, Pyne-O’Donnell S, Plunkett G, Froese D G, Hughes P D M, Sigl M, McConnell J R, Amesbury M J, Blackwell P G, van den Bogaard C, Buck C E, Charman D J, Clague J J, Hall V A, Koch J, Mackay H, Mallon1 G, McColl1 L, Pilcher J R",2014,Transatlantic distribution of the Alaskan White River Ash,"Geology 42:10, 875-878"
315030,Churchill,"Lerbekmo J F, Campbell F A",1969,"Distribution, Composition, and Source of the White River Ash, Yukon Territory.","Can J Earth Sci, 6: 109-116"
315030,Churchill,"Lerbekmo J F, Westgate J A, Smith D G W, Denton G H",1975,"New data on the character and history of the White River volcanic eruption, Alaska","In: Suggate R P and Cresswell M M (eds) {Quaternary Studies}, Wellington: Roy Soc New Zeal, p 203-209"
315030,Churchill,"McGimsey R G, Richter D H, DuBois G D, Miller T P",1992,"A postulated new source for the White River Ash, Alaska","U S Geol Surv Bull, 1999: 212-218"
315030,Churchill,"Richter D H, Preece S J, McGimsey R G, Westgate J A",1995,"Mount Churchill, Alaska: source of the late Holocene White River Ash","Can J Earth Sci, 32: 741-748"
315030,Churchill,"Richter D H, Rosenkrans D S, Steigerwald M J",1995,"Guide to the volcanoes of the western Wrangell Mountains, Alaska--Wrangell-St. Elias National Park and Preserve","U S Geol Surv Bull, 2072: 1-31"
315030,Churchill,Robinson S D,2001,"Extending the Late Holocene White River Ash distribution, northwestern Canada","Arctic, 54: 157-161"
315030,Churchill,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
315040,Edgecumbe,"Beget J E, Motyka R J",1998,"New dates on late Pleistocene dacitic tephra from the Mount Edgecumbe volcanic field, southeastern Alaska","Quat Res, 49: 123-125"
315040,Edgecumbe,"Brew D A, Muffler L J P, Loney R A",1969,"Reconnaissance geology of the Mount Edgecumbe volcanic field, Kruzof Island, southeastern Alaska","U S Geol Surv Prof Pap, 650-D: 1-18"
315040,Edgecumbe,"Henning R A, Rosenthal C H, Olds B, Reading E (eds)",1976,"Alaska's volcanoes, northern link in the ring of fire","Alaska Geog, 4: 1-88"
315040,Edgecumbe,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
315040,Edgecumbe,Riehle J R,1996,The Mount Edgecumbe volcanic field: a geologic history,"U S Dept Agriculture, 42 p"
315040,Edgecumbe,"Riehle J R, Brew D A, Lanphere M A",1989,"Geologic map of the Mount Edgecumbe volcanic field, Kruzof Island, southeastern Alaska","U S Geol Surv Map, I-1983"
315040,Edgecumbe,"Riehle J R, Champion D E, Brew D A, Lanphere M A",1992,"Pyroclastic deposits of the Mount Edgecumbe volcanic field, southeast Alaska: eruptions of a stratified magma chamber","J. Volcanol. Geotherm. Res., 53: 117-143"
315040,Edgecumbe,"Riehle J R, Mann D H, Peteet D M, Engstrom D R, Brew D A,  Meyer C E",1992,"The Mount Edgecumbe tephra deposits, a marker horizon in southeastern Alaska near the Pleistocene-Holocene boundary","Quat Res, 37: 183-202"
315040,Edgecumbe,"Smith R L, Shaw H R, Luedke R G, Russell S L",1978,Comprehensive tables giving physical data and thermal energy estimates for young igneous systems of the United States,"U S Geol Surv Open-File Rpt, 78-925: 1-25"
315040,Edgecumbe,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
320030,Atlin Volcanic Field,Aitken J D,1959,"Atlin map-area, British Columbia","Geol Surv Can Mem, 307: 1-89"
320030,Atlin Volcanic Field,"Edwards B R, Hamilton T S, Nicholls J, Stout M Z, Russell J K, Simpson K",1996,"Late Tertiary to Quaternary volcanism in the Atlin area, northwestern British Columbia","Geol Surv Can, Current Res 1996-A: 29-36"
320030,Atlin Volcanic Field,"Edwards B R, Russell J K, Anderson R G, Harder M",2003,"Overview of Neogene to Recent volcanism in the Atlin volcanic district, Northern Cordilleran province, northwestern British Columbia","Geol Surv Canada, Current Res, 2003-A8: 1-6"
320030,Atlin Volcanic Field,"Harder M, Russell J K",2007,"Basanite glaciovolcanism at Llangorse Mountain, northern British Columbia, Canada","Bull Volcanol, 69: 329-340"
320030,Atlin Volcanic Field,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320030,Atlin Volcanic Field,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320030,Atlin Volcanic Field,Holland S S,1976,"Landforms of British Columbia, a physiographic outline","Brit Columbia Dept Mines Petrol Resour Bull, 48: 1-138 (2nd printing)"
320030,Atlin Volcanic Field,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
320060,Edziza,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320060,Edziza,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320060,Edziza,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
320060,Edziza,Souther J G,1967,Cordilleran volcanic project,"Geol Surv Can Pap, 68-1A: 42-43"
320060,Edziza,Souther J G,1970,Volcanism and its relationship to recent crustal movements in the Canadian Cordillera,"Can J Earth Sci, 7: 553-568"
320060,Edziza,Souther J G,1992,"The late Cenozoic Mount Edziza volcanic complex, British Columbia","Geol Surv Can Mem, 420: 1-320"
320060,Edziza,"Souther J G, Symons D T A",1974,"Stratigraphy and paleomagnetism of Mount Edziza volcanic complex, northwestern British Columbia","Geol Surv Can Pap, 73-32: 1-48"
320060,Edziza,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
320080,Hoodoo Mountain,"Edwards B R, Edwards G, Russell J K",1995,"Revised stratigraphy for the Hoodoo Mountain volcanic centre, northwestern British Columbia","Geol Surv Can, Current Res. 1995-A: 105-115"
320080,Hoodoo Mountain,"Edwards B R, Russell J K",1994,"Preliminary stratigraphy of Hoodoo Mountain volcanic centre, northwestern British Columbia","Geol Surv Can Pap, 94-1A: 69-76"
320080,Hoodoo Mountain,"Edwards B R, Russell J K, Anderson R G",2002,"Subglacial, phonolitic volcanism at Hoodoo Mountain volcano, northern Canadian Cordillera","Bull Volcanol, 64: 254-272"
320080,Hoodoo Mountain,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
