Global Volcanism Program - Volcanoes of the World 4.8.6,,,,Downloaded on 05 Mar 2020 at 08:30 AM,
Volcano Number,Volcano Name,Author,Publication Year,Title,Source
211010,Campi Flegrei,"Orsi G, De Vita S, di Vito M",1996,"The restless, resurgent Campi Flegrei nested caldera (Italy): constraints on its evolution and configuration","J. Volcanol. Geotherm. Res., 74: 179-214"
211010,Campi Flegrei,"Orsi G, Di Vito M A, Isaia R",2004,Volcanic hazard assessment at the restless Campi Flegrei caldera,"Bull Volcanol, 66: 514-530"
211010,Campi Flegrei,Peccerillo A,2005,Plio-Quaternary Volcanism in Italy,"Berlin: Springer, 365 p"
211010,Campi Flegrei,"Perrotta A, Scarpati C",1994,"The dynamics of the Breccia Museo eruption (Campi Flegrei, Italy) and the significance of spatter clasts associated with lithic breccias","J. Volcanol. Geotherm. Res., 59: 335-355"
211010,Campi Flegrei,"Rosi M, Sbrana A",1987,"Consiglio Nazionale delle Ricerche Quaderni de ""la Ricerca Scientifica""","CNR Progetto Finalizzato Geodinamica, Rome, v 9"
211010,Campi Flegrei,"Rosi M, Sbrana A, Principe C",1983,"The Phlegrean Fields: structural evolution, volcanic history and eruptive mechanisms","J. Volcanol. Geotherm. Res., 17: 273-288"
211010,Campi Flegrei,"Rosi M, Vezzoli L, Aleotti P, De Censi M",1996,"Interaction between caldera collapse and eruptive dynamics during the Campanian Ignimbrite eruption, Phelegraean Fields, Italy","Bull Volcanol, 57: 541-554"
211010,Campi Flegrei,"Rosi M, Vezzoli L, Castelmenzano A, Grieco G",1999,"Plinian pumice fall deposit of the Campanian Ignimbrite eruption (Phlegraean Fields, Italy)","J. Volcanol. Geotherm. Res., 91: 179-198"
211010,Campi Flegrei,Scandone R,1987,,(pers. comm.)
211010,Campi Flegrei,"Scandone R, D'Amato J, Giacomelli L",2010,The relevance of the 1198 eruption of Solfatara in the Phlegraean Fields (Campi Flegrei) as revealed by medieval manuscripts and historical sources,"J. Volcanol. Geotherm. Res., 189: 202-206"
211010,Campi Flegrei,"Valentini L, Capaccioni B, Rossi P L, Scandone R, Sarocchi D",2008,"Vent area and depositional mechanism of the Upper Member of the Neapolitan Yellow Tuff (Campi Flegrei, Italy): new insights from directional fabric through image analysis","Bull Volcanol, 70: 1087-1101"
211010,Campi Flegrei,"Wohletz K, Orsi G, de Vita S",1995,"Eruptive mechanisms of the Neapolitan Yellow Tuff interpreted from stratigraphic, chemical, and granulometric data","J. Volcanol. Geotherm. Res., 67: 263-290"
211020,Vesuvius,"Alfano G B, Friedlander I",1929,La Storia del Vesuvio,"Naples: K Holm, 71 p, 107 plates"
211020,Vesuvius,"Andronico D, Cioni R",2002,"Contrasting styles of Mount Vesuvius activity in the period between the Avellino and Pompeii plinian eruptions, and some implications for assessment of future hazards","Bull Volcanol, 64: 372-391"
211020,Vesuvius,"Arrighi S, Principe C, Rosi M",2001,Violent strombolian and subplinian eruptions at Vesuvius during post-1631 activity,"Bull Volcanol, 63: 126-150"
211020,Vesuvius,"Bertagnini A, Landi P, Rosi M, Vigliargio A",1998,The Pomici de Base plinian eruption of Somma-Vesuvius,"J. Volcanol. Geotherm. Res., 83: 219-239"
211020,Vesuvius,"Bruno P P G, Rapolla A",1999,Study of the sub-surface structure of Somma-Vesuvius (Italy) by seismic reflection data,"J. Volcanol. Geotherm. Res., 92: 373-387"
211020,Vesuvius,Bullard F M,1976,Volcanoes of the Earth,"Austin: Univ Texas Press, 579 p"
